embedding_x,embedding_y
-7.710938,7.8178964
-7.0986257,9.921972
0.22757173,17.649805
2.4638379,-6.9464254
20.882982,7.3146577
5.818291,18.591019
0.3906962,18.769653
5.8686457,18.597523
-5.8762827,17.787907
-1.8210231,-2.2658803
17.757069,1.1412333
11.549661,-2.0109544
-5.873559,17.790533
12.8856325,0.3512177
0.50941736,19.760246
-5.85548,17.809757
4.9813666,-6.8440943
13.089205,15.690543
-6.307264,17.283827
5.0503044,15.746641
5.2656364,10.174704
-7.6961207,8.179869
-2.2190788,-2.7752316
5.468521,15.818102
20.013798,6.2647214
5.825999,18.63388
-3.1696537,-3.9347186
5.9080267,18.682611
15.265327,0.8541163
0.43631464,21.109213
2.7984698,-6.64203
17.941525,1.1941911
18.415585,1.0999222
11.557741,-2.003475
-2.3063052,13.536618
-5.874984,17.789434
0.13632637,6.0177083
5.472515,15.747137
14.423209,1.0473756
4.8718605,15.593549
15.399122,-1.1823366
5.7673006,18.595037
16.423792,-1.2044675
12.221205,-0.8104097
-3.0749104,-2.5729666
15.27368,-0.23149216
-6.3005548,17.302414
15.431322,-1.1889472
-0.29567942,5.5130024
20.294676,7.0294046
8.488985,-7.386216
2.1414216,5.905353
5.999492,18.780016
3.8667383,-7.631432
15.919347,13.392163
2.5982172,-6.7437687
-6.561558,10.425239
4.7158155,15.554007
11.630854,-2.0069032
20.681435,13.913012
2.6664455,-7.318782
-7.0929646,10.227647
19.455591,1.7364309
16.122305,1.7698812
12.961726,1.5928366
-5.875648,17.788597
-1.3609679,7.6734867
-6.3103833,17.285402
1.8279619,11.80243
0.72004086,18.452383
-7.714684,7.7893753
7.304982,23.75439
20.887407,9.670786
13.135295,15.649078
5.2354054,10.207535
0.7841709,18.444616
4.6798234,15.558275
0.44974768,21.049004
11.979288,-0.69162095
11.842686,20.223606
5.8284416,18.61741
19.500801,2.001308
14.839094,0.8113051
14.892803,-3.4915123
-7.401436,8.412902
2.5225024,-6.891759
16.384241,-1.2049761
-6.3036647,17.283247
-7.7135377,7.8189855
-0.8605464,8.195548
11.326831,-0.44300875
0.4511638,21.070063
9.901261,-6.8157806
-7.530163,9.909046
21.312237,7.864348
5.428011,15.832667
2.8504767,12.404434
21.396708,9.115293
-7.1467714,10.096226
0.42940956,21.08614
12.292194,16.348213
22.197403,8.145092
0.6495603,21.330406
-7.7151546,7.7912908
1.4744205,5.0754356
-1.7999101,-2.2354732
5.817291,18.6041
20.496767,6.8156343
14.600051,13.830728
-2.2263572,13.358821
17.75269,-0.18935579
3.1221943,-6.836184
22.004498,8.384664
0.650907,21.726665
5.4628325,15.810861
0.674416,18.882908
11.753949,-3.4142163
4.6862793,15.567276
0.22587806,17.641184
0.4140219,18.426212
-6.935752,9.9573345
11.010252,-1.2796676
-2.1864192,13.27629
1.1454471,4.0962944
0.4482445,18.517258
5.7841926,18.567755
16.027626,13.370692
0.37958243,5.642984
-0.30593294,4.43178
11.858219,16.520247
5.7459154,18.519281
-0.92583394,5.054605
-1.7635328,8.555411
17.693905,0.30179924
5.4422493,15.66429
18.755102,1.4628694
21.268742,14.564371
-1.7946115,-2.2299302
17.664545,0.6535767
20.05378,4.944387
0.76841927,19.788305
0.5226812,19.757565
0.6550746,4.756401
-6.289534,17.31192
-0.49895233,5.208105
-0.22625884,4.296405
-0.12620308,5.5772123
8.026783,5.7185326
9.221477,-6.7935643
-0.947497,5.1040125
11.506231,-0.4818003
20.22058,7.078812
0.73639417,5.138218
17.38652,1.1047245
15.078102,0.89489293
0.70882106,5.1989202
12.38606,15.995153
13.732538,14.856662
17.767874,0.29294425
-0.4694573,5.4290295
0.7356027,19.793234
-2.2751036,13.494148
5.4925513,15.814323
16.611748,-1.107508
2.4551752,-7.0573754
11.603614,18.957516
0.20819454,21.611473
-5.968501,17.687328
11.092538,-1.6699414
5.4763675,15.82077
6.615253,-6.80786
2.430197,-7.419543
-2.301799,13.553932
-7.6680317,10.348551
2.5989773,-6.7465906
18.312239,1.1495235
0.43305072,4.8079405
5.4765716,15.880346
5.291725,10.155661
4.6606264,15.568569
-0.36185175,5.4513783
-7.662551,9.840196
0.44270453,19.560894
4.3541603,-6.2563467
0.1589739,6.0308437
-5.86768,17.797153
3.948837,-5.2453356
-1.7916865,-2.2243142
0.43278694,19.108847
8.216865,-7.2360525
12.567683,16.551228
-6.298657,17.29816
-3.4481745,-2.9642987
21.928934,8.009765
20.779827,8.116867
0.8079023,18.3649
20.761171,8.042375
0.11220608,4.6241584
12.532855,16.558565
17.175755,1.3827828
-7.6914005,7.832624
20.797308,1.3436358
0.771111,19.067268
20.295662,1.8947188
-0.89981097,8.051394
2.5223343,5.112662
9.713655,-6.993058
-1.7679034,-2.2099998
-1.637674,-3.3964736
-1.5324612,9.105005
6.041471,18.815983
5.5094833,7.52703
20.77238,1.3718835
-6.6186357,10.705088
0.5754487,19.194153
8.130123,-7.2576094
16.611261,2.0348222
-7.383342,8.460166
